_id,reactant,product,reaction,condition,template_r0,template_r1
427,CC1OC1.OC(C)C,CC(OC(C)C)CO,[CH3:1][CH:2]1[O:8][CH2:7]1.[OH:3][CH:4]([CH3:5])[CH3:6]>>[CH3:1][CH:2]([O:3][CH:4]([CH3:5])[CH3:6])[CH2:7][OH:8],H+,[CH;D3;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[CH;D3;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C:5]-[O;H0;D2;+0:6]-[CH;D3;+0:2](-[C;D1;H3:1])-[C:3]-[OH;D1;+0:4]>>[C;D1;H3:1]-[CH;D3;+0:2]1-[C:3]-[O;H0;D2;+0:4]-1.[C:5]-[OH;D1;+0:6]
428,CC1(C)OC1.OC(C)C,CC(C)(OC(C)C)CO,[CH3:1][C:2]1([CH3:3])[O:9][CH2:8]1.[OH:4][CH:5]([CH3:6])[CH3:7]>>[CH3:1][C:2]([CH3:3])([O:4][CH:5]([CH3:6])[CH3:7])[CH2:8][OH:9],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C:6]-[O;H0;D2;+0:7]-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C:6]-[OH;D1;+0:7]
429,C1OC1.OC(C)C,OCCOC(C)C,[CH2:2]1[O:1][CH2:3]1.[OH:4][CH:5]([CH3:6])[CH3:7]>>[OH:1][CH2:2][CH2:3][O:4][CH:5]([CH3:6])[CH3:7],H+,[CH2;D2;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C:1]-[O;H0;D2;+0:2]-[CH2;D2;+0:4]-[C:3]-[OH;D1;+0:5]>>[C:1]-[OH;D1;+0:2].[C:3]1-[CH2;D2;+0:4]-[O;H0;D2;+0:5]-1
430,CC1(C)OC1C.OC(C)C,CC(C)(OC(C)C)C(C)O,[CH3:1][C:2]1([CH3:3])[O:10][CH:8]1[CH3:9].[OH:4][CH:5]([CH3:6])[CH3:7]>>[CH3:1][C:2]([CH3:3])([O:4][CH:5]([CH3:6])[CH3:7])[CH:8]([CH3:9])[OH:10],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C:6]-[O;H0;D2;+0:7]-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C:6]-[OH;D1;+0:7]
431,CC1(C)OC1(C)C.OC(C)C,CC(C)(OC(C)C)C(C)(C)O,[CH3:9][C:8]1([CH3:10])[O:11][C:2]1([CH3:1])[CH3:3].[OH:4][CH:5]([CH3:6])[CH3:7]>>[CH3:1][C:2]([CH3:3])([O:4][CH:5]([CH3:6])[CH3:7])[C:8]([CH3:9])([CH3:10])[OH:11],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C:6]-[O;H0;D2;+0:7]-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C:6]-[OH;D1;+0:7]
432,CC1(C)OC1.OC(C)C,CC(C)(OC(C)C)CO,[CH3:1][C:2]1([CH3:3])[O:9][CH2:8]1.[OH:4][CH:5]([CH3:6])[CH3:7]>>[CH3:1][C:2]([CH3:3])([O:4][CH:5]([CH3:6])[CH3:7])[CH2:8][OH:9],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C:6]-[O;H0;D2;+0:7]-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C:6]-[OH;D1;+0:7]
433,CC1OC1.OC(C)(C)C,CC(OC(C)(C)C)CO,[CH3:1][CH:2]1[O:9][CH2:8]1.[OH:3][C:4]([CH3:5])([CH3:6])[CH3:7]>>[CH3:1][CH:2]([O:3][C:4]([CH3:5])([CH3:6])[CH3:7])[CH2:8][OH:9],H+,[CH;D3;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[CH;D3;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[CH;D3;+0:2](-[C:3]-[OH;D1;+0:4])-[O;H0;D2;+0:9]-[C:6](-[C;D1;H3:5])(-[C;D1;H3:7])-[C;D1;H3:8]>>[C;D1;H3:1]-[CH;D3;+0:2]1-[C:3]-[O;H0;D2;+0:4]-1.[C;D1;H3:5]-[C:6](-[C;D1;H3:7])(-[C;D1;H3:8])-[OH;D1;+0:9]
434,CC1(C)OC1.OC(C)(C)C,CC(C)(OC(C)(C)C)CO,[CH3:1][C:2]1([CH3:3])[O:10][CH2:9]1.[OH:4][C:5]([CH3:6])([CH3:7])[CH3:8]>>[CH3:1][C:2]([CH3:3])([O:4][C:5]([CH3:6])([CH3:7])[CH3:8])[CH2:9][OH:10],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:10]-[C:7](-[C;D1;H3:6])(-[C;D1;H3:8])-[C;D1;H3:9]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C;D1;H3:6]-[C:7](-[C;D1;H3:8])(-[C;D1;H3:9])-[OH;D1;+0:10]
435,C1OC1.OC(C)(C)C,OCCOC(C)(C)C,[CH2:3]1[O:1][CH2:2]1.[OH:4][C:5]([CH3:6])([CH3:7])[CH3:8]>>[OH:1][CH2:2][CH2:3][O:4][C:5]([CH3:6])([CH3:7])[CH3:8],H+,[CH2;D2;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[O;H0;D2;+0:5]-[CH2;D2;+0:7]-[C:6]-[OH;D1;+0:8]>>[C;D1;H3:1]-[C:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[OH;D1;+0:5].[C:6]1-[CH2;D2;+0:7]-[O;H0;D2;+0:8]-1
436,CC1(C)OC1C.OC(C)(C)C,CC(C)(OC(C)(C)C)C(C)O,[CH3:1][C:2]1([CH3:3])[O:11][CH:9]1[CH3:10].[OH:4][C:5]([CH3:6])([CH3:7])[CH3:8]>>[CH3:1][C:2]([CH3:3])([O:4][C:5]([CH3:6])([CH3:7])[CH3:8])[CH:9]([CH3:10])[OH:11],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:10]-[C:7](-[C;D1;H3:6])(-[C;D1;H3:8])-[C;D1;H3:9]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C;D1;H3:6]-[C:7](-[C;D1;H3:8])(-[C;D1;H3:9])-[OH;D1;+0:10]
437,CC1(C)OC1(C)C.OC(C)(C)C,CC(C)(OC(C)(C)C)C(C)(C)O,[CH3:10][C:9]1([CH3:11])[O:12][C:2]1([CH3:3])[CH3:1].[OH:4][C:5]([CH3:6])([CH3:7])[CH3:8]>>[CH3:1][C:2]([CH3:3])([O:4][C:5]([CH3:6])([CH3:7])[CH3:8])[C:9]([CH3:10])([CH3:11])[OH:12],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:10]-[C:7](-[C;D1;H3:6])(-[C;D1;H3:8])-[C;D1;H3:9]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C;D1;H3:6]-[C:7](-[C;D1;H3:8])(-[C;D1;H3:9])-[OH;D1;+0:10]
438,CC1(C)OC1.OCC,CC(C)(OC(C)(C)C)C(C)(C)O,[CH3:9][C:2]1([CH3:3])[O:4][CH2:5]1.[OH:12][CH2:1][CH3:6]>>[CH3:1][C:2]([CH3:3])([O:4][C:5]([CH3:6])([CH3:7])[CH3:8])[C:9]([CH3:10])([CH3:11])[OH:12],H+,[C;H0;D4;+0:1]-[CH3;D1;+0:4].[CH3;D1;+0:5]-[C;H0;D4;+0:2]-[C;H0;D4;+0:3]-[OH;D1;+0:6]>>[CH2;D2;+0:1]-[C;H0;D4;+0:2]-[CH3;D1;+0:3].[CH3;D1;+0:4]-[CH2;D2;+0:5]-[OH;D1;+0:6],[C;D1;H3:1]-[C;H0;D4;+0:2](-[CH3;D1;+0:7])(-[#8:4]-[C;H0;D4;+0:5]-[CH3;D1;+0:6])-[C;H0;D4;+0:3]-[OH;D1;+0:8]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[CH3;D1;+0:3])-[#8:4]-[CH2;D2;+0:5]-1.[CH3;D1;+0:6]-[CH2;D2;+0:7]-[OH;D1;+0:8]
439,CC1OC1.Oc1ccccc1,CC(Oc1ccccc1)CO,[CH3:1][CH:2]1[O:11][CH2:10]1.[OH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1>>[CH3:1][CH:2]([O:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[CH2:10][OH:11],H+,[CH;D3;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[CH;D3;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[CH;D3;+0:2](-[C:3]-[OH;D1;+0:4])-[O;H0;D2;+0:5]-[c:6]>>[C;D1;H3:1]-[CH;D3;+0:2]1-[C:3]-[O;H0;D2;+0:4]-1.[OH;D1;+0:5]-[c:6]
440,CC1(C)OC1.Oc1ccccc1,CC(C)(Oc1ccccc1)CO,[CH3:1][C:2]1([CH3:3])[O:12][CH2:11]1.[OH:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[CH3:1][C:2]([CH3:3])([O:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[CH2:11][OH:12],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:6]-[c:7]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[OH;D1;+0:6]-[c:7]
441,C1OC1.Oc1ccccc1,OCCOc1ccccc1,[CH2:3]1[O:1][CH2:2]1.[OH:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[OH:1][CH2:2][CH2:3][O:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1,H+,[CH2;D2;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[OH;D1;+0:3]-[C:1]-[CH2;D2;+0:2]-[O;H0;D2;+0:4]-[c:5]>>[C:1]1-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-1.[OH;D1;+0:4]-[c:5]
442,CC1(C)OC1C.Oc1ccccc1,CC(C)(Oc1ccccc1)C(C)O,[CH3:1][C:2]1([CH3:3])[O:13][CH:11]1[CH3:12].[OH:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[CH3:1][C:2]([CH3:3])([O:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[CH:11]([CH3:12])[OH:13],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:6]-[c:7]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[OH;D1;+0:6]-[c:7]
443,CC1(C)OC1(C)C.Oc1ccccc1,CC(C)(Oc1ccccc1)C(C)(C)O,[CH3:12][C:11]1([CH3:13])[O:14][C:2]1([CH3:1])[CH3:3].[OH:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[CH3:1][C:2]([CH3:3])([O:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[C:11]([CH3:12])([CH3:13])[OH:14],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:6]-[c:7]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[OH;D1;+0:6]-[c:7]
444,CC1(C)OC1.Oc1ccccc1,CC(C)(Oc1ccccc1)CO,[CH3:1][C:2]1([CH3:3])[O:12][CH2:11]1.[OH:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[CH3:1][C:2]([CH3:3])([O:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[CH2:11][OH:12],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:6]-[c:7]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[OH;D1;+0:6]-[c:7]
445,CC1OC1.OC(=O)C,CC(OC(=O)C)CO,[CH3:1][CH:2]1[O:8][CH2:7]1.[OH:3][C:4](=[O:5])[CH3:6]>>[CH3:1][CH:2]([O:3][C:4](=[O:5])[CH3:6])[CH2:7][OH:8],H+,[CH;D3;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[CH;D3;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[CH;D3;+0:2](-[C:3]-[OH;D1;+0:4])-[O;H0;D2;+0:8]-[C:6](-[C;D1;H3:5])=[O;D1;H0:7]>>[C;D1;H3:1]-[CH;D3;+0:2]1-[C:3]-[O;H0;D2;+0:4]-1.[C;D1;H3:5]-[C:6](=[O;D1;H0:7])-[OH;D1;+0:8]
446,CC1(C)OC1.OC(=O)C,CC(C)(OC(=O)C)CO,[CH3:1][C:2]1([CH3:3])[O:9][CH2:8]1.[OH:4][C:5](=[O:6])[CH3:7]>>[CH3:1][C:2]([CH3:3])([O:4][C:5](=[O:6])[CH3:7])[CH2:8][OH:9],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:9]-[C:7](-[C;D1;H3:6])=[O;D1;H0:8]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C;D1;H3:6]-[C:7](=[O;D1;H0:8])-[OH;D1;+0:9]
447,C1OC1.OC(=O)C,OCCOC(=O)C,[CH2:2]1[O:1][CH2:3]1.[OH:4][C:5](=[O:6])[CH3:7]>>[OH:1][CH2:2][CH2:3][O:4][C:5](=[O:6])[CH3:7],H+,[CH2;D2;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[CH2;D2;+0:6]-[C:5]-[OH;D1;+0:7]>>[C;D1;H3:1]-[C:2](=[O;D1;H0:3])-[OH;D1;+0:4].[C:5]1-[CH2;D2;+0:6]-[O;H0;D2;+0:7]-1
448,CC1(C)OC1C.OC(=O)C,CC(C)(OC(=O)C)C(C)O,[CH3:1][C:2]1([CH3:3])[O:10][CH:8]1[CH3:9].[OH:4][C:5](=[O:6])[CH3:7]>>[CH3:1][C:2]([CH3:3])([O:4][C:5](=[O:6])[CH3:7])[CH:8]([CH3:9])[OH:10],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:9]-[C:7](-[C;D1;H3:6])=[O;D1;H0:8]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C;D1;H3:6]-[C:7](=[O;D1;H0:8])-[OH;D1;+0:9]
449,CC1(C)OC1(C)C.OC(=O)C,CC(C)(OC(=O)C)C(C)(C)O,[CH3:9][C:8]1([CH3:10])[O:11][C:2]1([CH3:3])[CH3:1].[OH:4][C:5](=[O:6])[CH3:7]>>[CH3:1][C:2]([CH3:3])([O:4][C:5](=[O:6])[CH3:7])[C:8]([CH3:9])([CH3:10])[OH:11],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:9]-[C:7](-[C;D1;H3:6])=[O;D1;H0:8]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C;D1;H3:6]-[C:7](=[O;D1;H0:8])-[OH;D1;+0:9]
450,CC1(C)OC1.OC(=O)C,CC(C)(OC(=O)C)CO,[CH3:1][C:2]1([CH3:3])[O:9][CH2:8]1.[OH:4][C:5](=[O:6])[CH3:7]>>[CH3:1][C:2]([CH3:3])([O:4][C:5](=[O:6])[CH3:7])[CH2:8][OH:9],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:9]-[C:7](-[C;D1;H3:6])=[O;D1;H0:8]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C;D1;H3:6]-[C:7](=[O;D1;H0:8])-[OH;D1;+0:9]
451,CC1OC1.OC(=O)CC,CC(OC(=O)CC)CO,[CH3:1][CH:2]1[O:9][CH2:8]1.[OH:3][C:4](=[O:5])[CH2:6][CH3:7]>>[CH3:1][CH:2]([O:3][C:4](=[O:5])[CH2:6][CH3:7])[CH2:8][OH:9],H+,[CH;D3;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[CH;D3;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[CH;D3;+0:2](-[C:3]-[OH;D1;+0:4])-[O;H0;D2;+0:7]-[C:6]=[O;D1;H0:5]>>[C;D1;H3:1]-[CH;D3;+0:2]1-[C:3]-[O;H0;D2;+0:4]-1.[O;D1;H0:5]=[C:6]-[OH;D1;+0:7]
452,CC1(C)OC1.OC(=O)CC,CC(C)(OC(=O)CC)CO,[CH3:1][C:2]1([CH3:3])[O:10][CH2:9]1.[OH:4][C:5](=[O:6])[CH2:7][CH3:8]>>[CH3:1][C:2]([CH3:3])([O:4][C:5](=[O:6])[CH2:7][CH3:8])[CH2:9][OH:10],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:8]-[C:7]=[O;D1;H0:6]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[O;D1;H0:6]=[C:7]-[OH;D1;+0:8]
453,C1OC1.OC(=O)CC,OCCOC(=O)CC,[CH2:2]1[O:1][CH2:3]1.[OH:4][C:5](=[O:6])[CH2:7][CH3:8]>>[OH:1][CH2:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][CH3:8],H+,[CH2;D2;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[O;D1;H0:4]=[C:5]-[O;H0;D2;+0:6]-[CH2;D2;+0:2]-[C:1]-[OH;D1;+0:3]>>[C:1]1-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-1.[O;D1;H0:4]=[C:5]-[OH;D1;+0:6]
454,CC1(C)OC1C.OC(=O)CC,CC(C)(OC(=O)CC)C(C)O,[CH3:1][C:2]1([CH3:3])[O:11][CH:9]1[CH3:10].[OH:4][C:5](=[O:6])[CH2:7][CH3:8]>>[CH3:1][C:2]([CH3:3])([O:4][C:5](=[O:6])[CH2:7][CH3:8])[CH:9]([CH3:10])[OH:11],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:8]-[C:7]=[O;D1;H0:6]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[O;D1;H0:6]=[C:7]-[OH;D1;+0:8]
455,CC1(C)OC1(C)C.OC(=O)CC,CC(C)(OC(=O)CC)C(C)(C)O,[CH3:10][C:9]1([CH3:11])[O:12][C:2]1([CH3:3])[CH3:1].[OH:4][C:5](=[O:6])[CH2:7][CH3:8]>>[CH3:1][C:2]([CH3:3])([O:4][C:5](=[O:6])[CH2:7][CH3:8])[C:9]([CH3:10])([CH3:11])[OH:12],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:8]-[C:7]=[O;D1;H0:6]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[O;D1;H0:6]=[C:7]-[OH;D1;+0:8]
456,CC1(C)OC1.OC(=O)CC,CC(C)(OC(=O)CC)CO,[CH3:1][C:2]1([CH3:3])[O:10][CH2:9]1.[OH:4][C:5](=[O:6])[CH2:7][CH3:8]>>[CH3:1][C:2]([CH3:3])([O:4][C:5](=[O:6])[CH2:7][CH3:8])[CH2:9][OH:10],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:8]-[C:7]=[O;D1;H0:6]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[O;D1;H0:6]=[C:7]-[OH;D1;+0:8]
457,CC1OC1.OC(=O)C(C)C,CC(OC(=O)C(C)C)CO,[CH3:1][CH:2]1[O:10][CH2:9]1.[OH:3][C:4](=[O:5])[CH:6]([CH3:7])[CH3:8]>>[CH3:1][CH:2]([O:3][C:4](=[O:5])[CH:6]([CH3:7])[CH3:8])[CH2:9][OH:10],H+,[CH;D3;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[CH;D3;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[CH;D3;+0:2](-[C:3]-[OH;D1;+0:4])-[O;H0;D2;+0:7]-[C:6]=[O;D1;H0:5]>>[C;D1;H3:1]-[CH;D3;+0:2]1-[C:3]-[O;H0;D2;+0:4]-1.[O;D1;H0:5]=[C:6]-[OH;D1;+0:7]
458,CC1(C)OC1.OC(=O)C(C)C,CC(C)(OC(=O)C(C)C)CO,[CH3:1][C:2]1([CH3:3])[O:11][CH2:10]1.[OH:4][C:5](=[O:6])[CH:7]([CH3:8])[CH3:9]>>[CH3:1][C:2]([CH3:3])([O:4][C:5](=[O:6])[CH:7]([CH3:8])[CH3:9])[CH2:10][OH:11],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:8]-[C:7]=[O;D1;H0:6]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[O;D1;H0:6]=[C:7]-[OH;D1;+0:8]
